track_name,artist,genre,year
Sapphire,Ed Sheeran,Pop,2025
Don't Let Me Down,The Chainsmokers,Pop,2018
Thunder,Imagine Dragons,Rock,2017
Uptown Funk,Mark Ronson,Funk,2014
Breath,Olly Alexander,Pop,2015
Old Town Road,Lil Nas X,Country Rap,2019
STARMAN,David Bowie,Glam Rock,1972
Bohemian Rhapsody,Queen,Rock,1975
Billie Jean,Michael Jackson,Pop,1982
Hotel California,Eagles,Rock,1977
Smells Like Teen Spirit,Nirvana,Grunge,1991
Rolling in the Deep,Adele,Soul,2010
Shape of You,Ed Sheeran,Pop,2017
Bad Guy,Billie Eilish,Electropop,2019
Take Five,Dave Brubeck,Jazz,1959
Hey Ya!,Outkast,Hip Hop,2003
Lose Yourself,Eminem,Hip Hop,2002
Crazy in Love,Beyoncé,R&B,2003
Hallelujah,Leonard Cohen,Folk,1984
Wonderwall,Oasis,Britpop,1995
Blinding Lights,The Weeknd,Synthpop,2019
Someone Like You,Adele,Soul,2011
Back in Black,AC/DC,Hard Rock,1980
Sweet Child O' Mine,Guns N' Roses,Hard Rock,1987
Imagine,John Lennon,Rock,1971
